gene,drug,action
pharmgkb:PA451581,pharmgkb:PA27886,dbv:antagonist
pharmgkb:PA164749297,pharmgkb:PA28502,dbv:positive-allosteric-modulator
pharmgkb:PA451877,pharmgkb:PA134936770,dbv:adduct
pharmgkb:PA451877,pharmgkb:PA134909953,dbv:adduct
pharmgkb:PA164749297,pharmgkb:PA28504,dbv:positive-allosteric-modulator
pharmgkb:PA451837,pharmgkb:PA397,dbv:inhibitor
pharmgkb:PA451837,pharmgkb:PA318,dbv:inhibitor
pharmgkb:PA448998,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA451565,pharmgkb:PA30622,dbv:inhibitor
pharmgkb:PA451250,pharmgkb:PA130,dbv:inducer
pharmgkb:PA451250,pharmgkb:PA130,dbv:substrate
pharmgkb:PA450654,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA10251,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA10251,pharmgkb:PA130,dbv:substrate
pharmgkb:PA450496,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA450496,pharmgkb:PA130,dbv:substrate
pharmgkb:PA449681,pharmgkb:PA130,dbv:substrate
pharmgkb:PA449905,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA449905,pharmgkb:PA130,dbv:substrate
pharmgkb:PA450530,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA450530,pharmgkb:PA130,dbv:inducer
pharmgkb:PA450530,pharmgkb:PA130,dbv:substrate
pharmgkb:PA451664,pharmgkb:PA28493,dbv:potentiator
pharmgkb:PA451664,pharmgkb:PA28491,dbv:potentiator
pharmgkb:PA451664,pharmgkb:PA28490,dbv:potentiator
pharmgkb:PA450379,pharmgkb:PA37404,dbv:substrate
pharmgkb:PA449293,pharmgkb:PA24434,dbv:inhibitor
pharmgkb:PA451733,pharmgkb:PA320,dbv:inhibitor
pharmgkb:PA451664,pharmgkb:PA27955,dbv:inhibitor
pharmgkb:PA449293,pharmgkb:PA30075,dbv:other
pharmgkb:PA449293,pharmgkb:PA30074,dbv:other
pharmgkb:PA451250,pharmgkb:PA27093,dbv:inducer
pharmgkb:PA450654,pharmgkb:PA27093,dbv:inhibitor
pharmgkb:PA450530,pharmgkb:PA27093,dbv:inhibitor
pharmgkb:PA450530,pharmgkb:PA27093,dbv:inducer
pharmgkb:PA451868,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA267,dbv:inducer
pharmgkb:PA451868,pharmgkb:PA267,dbv:substrate
pharmgkb:PA450566,pharmgkb:PA267,dbv:substrate
pharmgkb:PA151958361,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA450496,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA450496,pharmgkb:PA267,dbv:inducer
pharmgkb:PA450496,pharmgkb:PA267,dbv:substrate
pharmgkb:PA449681,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA449905,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA449905,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451799,pharmgkb:PA27887,dbv:inverse-agonist
pharmgkb:PA449293,pharmgkb:PA270,dbv:inhibitor
pharmgkb:PA451664,pharmgkb:PA28489,dbv:potentiator
pharmgkb:PA449957,pharmgkb:PA24346,dbv:inhibitor
pharmgkb:PA451877,pharmgkb:PA37079,dbv:adduct
pharmgkb:PA449957,pharmgkb:PA293,dbv:inhibitor
pharmgkb:PA449293,pharmgkb:PA35006,dbv:inhibitor
pharmgkb:PA451664,pharmgkb:PA28492,dbv:potentiator
pharmgkb:PA451664,pharmgkb:PA28494,dbv:potentiator
pharmgkb:PA451565,pharmgkb:PA28891,dbv:antagonist
pharmgkb:PA450566,pharmgkb:PA24690,dbv:substrate
pharmgkb:PA10309,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451096,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451578,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451578,pharmgkb:PA267,dbv:inducer
pharmgkb:PA451578,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451365,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451365,pharmgkb:PA267,dbv:inducer
pharmgkb:PA451363,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451744,pharmgkb:PA267,dbv:inducer
pharmgkb:PA451612,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA450132,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA450911,pharmgkb:PA267,dbv:inducer
pharmgkb:PA450911,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451131,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA449507,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA449009,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA449009,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451731,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451879,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451879,pharmgkb:PA267,dbv:inducer
pharmgkb:PA451879,pharmgkb:PA267,dbv:substrate
pharmgkb:PA450428,pharmgkb:PA267,dbv:substrate
pharmgkb:PA449676,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA448498,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451566,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451581,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451581,pharmgkb:PA267,dbv:inducer
pharmgkb:PA451581,pharmgkb:PA267,dbv:substrate
pharmgkb:PA451089,pharmgkb:PA267,dbv:inhibitor
pharmgkb:PA451089,pharmgkb:PA267,dbv:substrate
pharmgkb:PA450911,pharmgkb:PA244,dbv:inducer
pharmgkb:PA449961,pharmgkb:PA244,dbv:inhibitor
pharmgkb:PA451879,pharmgkb:PA244,dbv:inhibitor
pharmgkb:PA451879,pharmgkb:PA244,dbv:substrate
pharmgkb:PA450428,pharmgkb:PA244,dbv:inhibitor
pharmgkb:PA450428,pharmgkb:PA244,dbv:substrate
pharmgkb:PA451365,pharmgkb:PA134865839,dbv:inhibitor
pharmgkb:PA451363,pharmgkb:PA134865839,dbv:inhibitor
pharmgkb:PA451363,pharmgkb:PA134865839,dbv:substrate
pharmgkb:PA450428,pharmgkb:PA134865839,dbv:substrate
pharmgkb:PA451566,pharmgkb:PA134865839,dbv:substrate
pharmgkb:PA451089,pharmgkb:PA134865839,dbv:inhibitor
pharmgkb:PA451089,pharmgkb:PA134865839,dbv:substrate
pharmgkb:PA165958414,pharmgkb:PA323,dbv:inhibitor
pharmgkb:PA128406956,pharmgkb:PA376,dbv:substrate
pharmgkb:PA450428,pharmgkb:PA376,dbv:inhibitor
pharmgkb:PA450428,pharmgkb:PA376,dbv:substrate
pharmgkb:PA128406956,pharmgkb:PA397,dbv:substrate
pharmgkb:PA128406956,pharmgkb:PA395,dbv:substrate
pharmgkb:PA451868,pharmgkb:PA333,dbv:inhibitor
pharmgkb:PA165958414,pharmgkb:PA333,dbv:inhibitor
pharmgkb:PA450428,pharmgkb:PA35813,dbv:substrate
pharmgkb:PA451879,pharmgkb:PA34199,dbv:substrate
pharmgkb:PA448018,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA448953,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA450985,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA450428,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA451089,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA450985,pharmgkb:PA389,dbv:inhibitor
pharmgkb:PA450911,pharmgkb:PA35840,dbv:inducer
pharmgkb:PA164754863,pharmgkb:PA390,dbv:substrate
pharmgkb:PA451879,pharmgkb:PA390,dbv:substrate
pharmgkb:PA128406956,pharmgkb:PA390,dbv:substrate
pharmgkb:PA451566,pharmgkb:PA390,dbv:substrate
pharmgkb:PA451581,pharmgkb:PA390,dbv:substrate
pharmgkb:PA451089,pharmgkb:PA390,dbv:inhibitor
pharmgkb:PA451089,pharmgkb:PA390,dbv:substrate
pharmgkb:PA448368,pharmgkb:PA331,dbv:inhibitor
pharmgkb:PA448368,pharmgkb:PA329,dbv:inhibitor
pharmgkb:PA451879,pharmgkb:PA330,dbv:inhibitor
pharmgkb:PA451089,pharmgkb:PA35845,dbv:inhibitor
pharmgkb:PA451089,pharmgkb:PA35845,dbv:substrate
pharmgkb:PA451096,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA451363,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA451566,pharmgkb:PA328,dbv:inducer
pharmgkb:PA165958414,pharmgkb:PA35812,dbv:inhibitor
pharmgkb:PA451879,pharmgkb:PA24392,dbv:inhibitor
pharmgkb:PA451879,pharmgkb:PA24392,dbv:substrate
pharmgkb:PA451363,pharmgkb:PA116,dbv:substrate
pharmgkb:PA450911,pharmgkb:PA116,dbv:inducer
pharmgkb:PA451879,pharmgkb:PA116,dbv:inhibitor
pharmgkb:PA451879,pharmgkb:PA116,dbv:substrate
pharmgkb:PA451581,pharmgkb:PA116,dbv:substrate
pharmgkb:PA451089,pharmgkb:PA116,dbv:inhibitor
pharmgkb:PA450428,pharmgkb:PA162403775,dbv:inhibitor
pharmgkb:PA450428,pharmgkb:PA162403775,dbv:substrate
pharmgkb:PA128406956,pharmgkb:PA154,dbv:substrate
pharmgkb:PA450985,pharmgkb:PA38295,dbv:inhibitor
pharmgkb:PA450428,pharmgkb:PA38295,dbv:substrate
pharmgkb:PA451089,pharmgkb:PA38295,dbv:inhibitor
pharmgkb:PA450947,pharmgkb:PA37815,dbv:inhibitor
pharmgkb:PA128406956,pharmgkb:PA35848,dbv:substrate
pharmgkb:PA450373,pharmgkb:PA125,dbv:substrate
pharmgkb:PA128406956,pharmgkb:PA125,dbv:substrate
pharmgkb:PA450985,pharmgkb:PA125,dbv:inhibitor
pharmgkb:PA450985,pharmgkb:PA125,dbv:substrate
pharmgkb:PA450373,pharmgkb:PA128,dbv:substrate
pharmgkb:PA449552,pharmgkb:PA376,dbv:inhibitor
pharmgkb:PA449552,pharmgkb:PA376,dbv:substrate
pharmgkb:PA451250,pharmgkb:PA427,dbv:inducer
pharmgkb:PA451868,pharmgkb:PA397,dbv:inhibitor
pharmgkb:PA450654,pharmgkb:PA27092,dbv:inhibitor
pharmgkb:PA448717,pharmgkb:PA130,dbv:inducer
pharmgkb:PA448717,pharmgkb:PA130,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA130,dbv:substrate
pharmgkb:PA451866,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA130,dbv:substrate
pharmgkb:PA451954,pharmgkb:PA130,dbv:substrate
pharmgkb:PA451741,pharmgkb:PA130,dbv:inhibitor
pharmgkb:PA165958374,pharmgkb:PA130,dbv:substrate
pharmgkb:PA449905,pharmgkb:PA134,dbv:substrate
pharmgkb:PA164746490,pharmgkb:PA37404,dbv:inhibitor
pharmgkb:PA448021,pharmgkb:PA35813,dbv:substrate
pharmgkb:PA448578,pharmgkb:PA389,dbv:inhibitor
pharmgkb:PA449681,pharmgkb:PA331,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA329,dbv:inhibitor
pharmgkb:PA450496,pharmgkb:PA329,dbv:inhibitor
pharmgkb:PA448021,pharmgkb:PA35845,dbv:inhibitor
pharmgkb:PA448021,pharmgkb:PA35845,dbv:substrate
pharmgkb:PA151958361,pharmgkb:PA35845,dbv:inhibitor
pharmgkb:PA448578,pharmgkb:PA35845,dbv:inhibitor
pharmgkb:PA451975,pharmgkb:PA27093,dbv:substrate
pharmgkb:PA451741,pharmgkb:PA27093,dbv:inhibitor
pharmgkb:PA449957,pharmgkb:PA360,dbv:substrate
pharmgkb:PA451250,pharmgkb:PA121,dbv:inhibitor
pharmgkb:PA451250,pharmgkb:PA121,dbv:inducer
pharmgkb:PA451250,pharmgkb:PA121,dbv:substrate
pharmgkb:PA450654,pharmgkb:PA121,dbv:inhibitor
pharmgkb:PA449681,pharmgkb:PA121,dbv:substrate
pharmgkb:PA450496,pharmgkb:PA27119,dbv:substrate
pharmgkb:PA449905,pharmgkb:PA133,dbv:substrate
pharmgkb:PA449957,pharmgkb:PA361,dbv:substrate
pharmgkb:PA451250,pharmgkb:PA123,dbv:inducer
pharmgkb:PA450496,pharmgkb:PA123,dbv:substrate
pharmgkb:PA450530,pharmgkb:PA123,dbv:inhibitor
pharmgkb:PA450530,pharmgkb:PA123,dbv:inducer
pharmgkb:PA451250,pharmgkb:PA420,dbv:inducer
pharmgkb:PA449957,pharmgkb:PA420,dbv:substrate
pharmgkb:PA450496,pharmgkb:PA37179,dbv:substrate
pharmgkb:PA451250,pharmgkb:PA122,dbv:inducer
pharmgkb:PA450654,pharmgkb:PA122,dbv:inhibitor
pharmgkb:PA450496,pharmgkb:PA122,dbv:inhibitor
pharmgkb:PA450496,pharmgkb:PA122,dbv:substrate
pharmgkb:PA449905,pharmgkb:PA122,dbv:substrate
pharmgkb:PA449957,pharmgkb:PA37178,dbv:substrate
pharmgkb:PA451868,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA449905,pharmgkb:PA328,dbv:inhibitor
pharmgkb:PA450379,pharmgkb:PA24842,dbv:substrate
pharmgkb:PA451868,pharmgkb:PA24392,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA332,dbv:inhibitor
pharmgkb:PA450566,pharmgkb:PA35844,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA125,dbv:inhibitor
pharmgkb:PA451954,pharmgkb:PA125,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA128,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA128,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA128,dbv:substrate
pharmgkb:PA451741,pharmgkb:PA128,dbv:inhibitor
pharmgkb:PA451954,pharmgkb:PA352,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA27092,dbv:inhibitor
pharmgkb:PA450423,pharmgkb:PA28743,dbv:inhibitor
pharmgkb:PA450423,pharmgkb:PA30647,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA27112,dbv:substrate
pharmgkb:PA450423,pharmgkb:PA30642,dbv:substrate
pharmgkb:PA448717,pharmgkb:PA27097,dbv:inducer
pharmgkb:PA448717,pharmgkb:PA27097,dbv:substrate
pharmgkb:PA450423,pharmgkb:PA37848,dbv:substrate
pharmgkb:PA450423,pharmgkb:PA134979691,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA27089,dbv:substrate
pharmgkb:PA451741,pharmgkb:PA129,dbv:inhibitor
pharmgkb:PA451954,pharmgkb:PA121,dbv:substrate
pharmgkb:PA451741,pharmgkb:PA121,dbv:inhibitor
pharmgkb:PA164748138,pharmgkb:PA126,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA126,dbv:substrate
pharmgkb:PA451954,pharmgkb:PA126,dbv:substrate
pharmgkb:PA451741,pharmgkb:PA126,dbv:inhibitor
pharmgkb:PA451954,pharmgkb:PA361,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA123,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA123,dbv:inhibitor
pharmgkb:PA451975,pharmgkb:PA236,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA124,dbv:inhibitor
pharmgkb:PA451866,pharmgkb:PA124,dbv:substrate
pharmgkb:PA451954,pharmgkb:PA124,dbv:substrate
pharmgkb:PA451741,pharmgkb:PA124,dbv:inhibitor
pharmgkb:PA450423,pharmgkb:PA245,dbv:inhibitor
pharmgkb:PA450423,pharmgkb:PA30646,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA135,dbv:substrate
pharmgkb:PA164748138,pharmgkb:PA134986407,dbv:substrate
pharmgkb:PA450423,pharmgkb:PA134863396,dbv:substrate
pharmgkb:PA450423,pharmgkb:PA30648,dbv:substrate
pharmgkb:PA450911,pharmgkb:PA376,dbv:inducer
pharmgkb:PA451879,pharmgkb:PA376,dbv:inhibitor
pharmgkb:PA450911,pharmgkb:PA374,dbv:inducer
pharmgkb:PA451879,pharmgkb:PA374,dbv:substrate
pharmgkb:PA10034,pharmgkb:PA374,dbv:inhibitor
pharmgkb:PA451581,pharmgkb:PA374,dbv:inhibitor
pharmgkb:PA451089,pharmgkb:PA374,dbv:substrate
pharmgkb:PA450566,pharmgkb:PA164743293,dbv:substrate
pharmgkb:PA450566,pharmgkb:PA164752827,dbv:substrate
pharmgkb:PA450566,pharmgkb:PA164749380,dbv:substrate
pharmgkb:PA451868,pharmgkb:PA85,dbv:inhibitor
pharmgkb:PA450651,pharmgkb:PA266,dbv:agonist
pharmgkb:PA164743961,pharmgkb:PA242,dbv:agonist
pharmgkb:PA164749044,pharmgkb:PA242,dbv:antagonist
pharmgkb:PA164743961,pharmgkb:PA57,dbv:agonist
pharmgkb:PA450085,pharmgkb:PA353,dbv:inhibitor
pharmgkb:PA451701,pharmgkb:PA36,dbv:agonist
pharmgkb:PA164747651,pharmgkb:PA148,dbv:agonist
pharmgkb:PA452627,pharmgkb:PA101,dbv:inhibitor
pharmgkb:PA449247,pharmgkb:PA31746,dbv:stimulator
pharmgkb:PA450475,pharmgkb:PA29557,dbv:agonist
pharmgkb:PA451868,pharmgkb:PA26014,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA381,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA26010,dbv:inhibitor
pharmgkb:PA450761,pharmgkb:PA25302,dbv:inhibitor
pharmgkb:PA164747651,pharmgkb:PA147,dbv:agonist
pharmgkb:PA451746,pharmgkb:PA34228,dbv:agonist
pharmgkb:PA451868,pharmgkb:PA89,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA26008,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA84,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA88,dbv:inhibitor
pharmgkb:PA164749407,pharmgkb:PA38089,dbv:antagonist
pharmgkb:PA450761,pharmgkb:PA38100,dbv:inhibitor
pharmgkb:PA451701,pharmgkb:PA31635,dbv:agonist
pharmgkb:PA450085,pharmgkb:PA134922772,dbv:inhibitor
pharmgkb:PA451737,pharmgkb:PA139,dbv:inhibitor
pharmgkb:PA451664,pharmgkb:PA28967,dbv:antagonist
pharmgkb:PA451652,pharmgkb:PA35825,dbv:binder
pharmgkb:PA451089,pharmgkb:PA189,dbv:inhibitor
pharmgkb:PA449293,pharmgkb:PA46,dbv:potentiator
pharmgkb:PA451565,pharmgkb:PA24675,dbv:inhibitor
pharmgkb:PA451735,pharmgkb:PA112,dbv:antagonist
pharmgkb:PA451735,pharmgkb:PA312,dbv:inhibitor
pharmgkb:PA451664,pharmgkb:PA114,dbv:antagonist
pharmgkb:PA451799,pharmgkb:PA281,dbv:agonist
pharmgkb:PA451735,pharmgkb:PA31942,dbv:agonist
pharmgkb:PA451735,pharmgkb:PA31943,dbv:agonist
pharmgkb:PA451799,pharmgkb:PA27891,dbv:inverse-agonist
pharmgkb:PA451664,pharmgkb:PA164741600,dbv:antagonist
pharmgkb:PA451652,pharmgkb:PA38235,dbv:ligand
pharmgkb:PA164749650,pharmgkb:PA162404677,dbv:cofactor
pharmgkb:PA10323,pharmgkb:PA37341,dbv:inhibitor
pharmgkb:PA10323,pharmgkb:PA37341,dbv:substrate
pharmgkb:PA451799,pharmgkb:PA27968,dbv:inhibitor
pharmgkb:PA451799,pharmgkb:PA261,dbv:antagonist
pharmgkb:PA164755085,pharmgkb:PA24570,dbv:substrate
pharmgkb:PA449484,pharmgkb:PA37301,dbv:agonist
pharmgkb:PA164755085,pharmgkb:PA24574,dbv:substrate
pharmgkb:PA164743249,pharmgkb:PA24346,dbv:inhibitor
pharmgkb:PA449597,pharmgkb:PA24346,dbv:inhibitor
pharmgkb:PA449293,pharmgkb:PA24346,dbv:inhibitor
pharmgkb:PA449293,pharmgkb:PA24346,dbv:substrate
pharmgkb:PA451565,pharmgkb:PA24346,dbv:inhibitor
pharmgkb:PA451735,pharmgkb:PA310,dbv:inhibitor
pharmgkb:PA451735,pharmgkb:PA194,dbv:antagonist
pharmgkb:PA451848,pharmgkb:PA43,dbv:antagonist
pharmgkb:PA449597,pharmgkb:PA293,dbv:inhibitor
pharmgkb:PA449293,pharmgkb:PA293,dbv:inhibitor
pharmgkb:PA451565,pharmgkb:PA293,dbv:inhibitor
pharmgkb:PA451735,pharmgkb:PA31945,dbv:agonist
pharmgkb:PA451664,pharmgkb:PA26490,dbv:antagonist
pharmgkb:PA451565,pharmgkb:PA33557,dbv:negative-modulator
pharmgkb:PA164749650,pharmgkb:PA134900760,dbv:cofactor
pharmgkb:PA451735,pharmgkb:PA28983,dbv:antagonist
pharmgkb:PA164749650,pharmgkb:PA134979359,dbv:cofactor
pharmgkb:PA451799,pharmgkb:PA154,dbv:inhibitor
pharmgkb:PA451250,pharmgkb:PA125,dbv:inhibitor
pharmgkb:PA451250,pharmgkb:PA125,dbv:inducer
pharmgkb:PA451250,pharmgkb:PA125,dbv:substrate
pharmgkb:PA449957,pharmgkb:PA125,dbv:substrate
pharmgkb:PA449905,pharmgkb:PA125,dbv:inducer
pharmgkb:PA451868,pharmgkb:PA376,dbv:inhibitor
pharmgkb:PA449957,pharmgkb:PA419,dbv:substrate
pharmgkb:PA449550,pharmgkb:PA419,dbv:substrate
pharmgkb:PA451250,pharmgkb:PA27118,dbv:inducer
pharmgkb:PA450897,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA449550,pharmgkb:PA388,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA390,dbv:inhibitor
pharmgkb:PA450566,pharmgkb:PA390,dbv:substrate
pharmgkb:PA151958361,pharmgkb:PA390,dbv:inhibitor
pharmgkb:PA452627,pharmgkb:PA390,dbv:substrate
pharmgkb:PA449905,pharmgkb:PA390,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA374,dbv:inhibitor
pharmgkb:PA451250,pharmgkb:PA129,dbv:inducer
pharmgkb:PA450496,pharmgkb:PA129,dbv:inhibitor
pharmgkb:PA449681,pharmgkb:PA129,dbv:inhibitor
pharmgkb:PA451250,pharmgkb:PA126,dbv:inducer
pharmgkb:PA451250,pharmgkb:PA126,dbv:substrate
pharmgkb:PA449957,pharmgkb:PA126,dbv:inhibitor
pharmgkb:PA449957,pharmgkb:PA126,dbv:substrate
pharmgkb:PA10251,pharmgkb:PA126,dbv:substrate
pharmgkb:PA450530,pharmgkb:PA126,dbv:inhibitor
pharmgkb:PA450530,pharmgkb:PA126,dbv:inducer
pharmgkb:PA449550,pharmgkb:PA126,dbv:inhibitor
pharmgkb:PA449550,pharmgkb:PA126,dbv:substrate
pharmgkb:PA451250,pharmgkb:PA131,dbv:inducer
pharmgkb:PA450654,pharmgkb:PA131,dbv:inhibitor
pharmgkb:PA450496,pharmgkb:PA131,dbv:substrate
pharmgkb:PA449905,pharmgkb:PA131,dbv:substrate
pharmgkb:PA450530,pharmgkb:PA131,dbv:inhibitor
pharmgkb:PA450530,pharmgkb:PA131,dbv:inducer
pharmgkb:PA451250,pharmgkb:PA124,dbv:inducer
pharmgkb:PA449957,pharmgkb:PA124,dbv:substrate
pharmgkb:PA450530,pharmgkb:PA124,dbv:inhibitor
pharmgkb:PA450530,pharmgkb:PA124,dbv:inducer
pharmgkb:PA451868,pharmgkb:PA244,dbv:inhibitor
pharmgkb:PA151958361,pharmgkb:PA244,dbv:inhibitor
pharmgkb:PA451868,pharmgkb:PA116,dbv:inhibitor
pharmgkb:PA450566,pharmgkb:PA116,dbv:substrate
pharmgkb:PA451868,pharmgkb:PA134865839,dbv:inhibitor
pharmgkb:PA450566,pharmgkb:PA134865839,dbv:substrate
pharmgkb:PA164752439,pharmgkb:PA134900226,dbv:antagonist
pharmgkb:PA164776671,pharmgkb:PA26097,dbv:agonist
pharmgkb:PA449591,pharmgkb:PA85,dbv:inhibitor
pharmgkb:PA449591,pharmgkb:PA83,dbv:inhibitor
pharmgkb:PA449591,pharmgkb:PA242,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA36,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA37,dbv:antagonist
pharmgkb:PA450121,pharmgkb:PA33312,dbv:agonist
pharmgkb:PA164752439,pharmgkb:PA29561,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA29555,dbv:antagonist
pharmgkb:PA449591,pharmgkb:PA26042,dbv:other
pharmgkb:PA451128,pharmgkb:PA26042,dbv:inhibitor
pharmgkb:PA449591,pharmgkb:PA36632,dbv:other
pharmgkb:PA164752439,pharmgkb:PA29557,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA134925741,dbv:antagonist
pharmgkb:PA449591,pharmgkb:PA26012,dbv:inhibitor
pharmgkb:PA450121,pharmgkb:PA33313,dbv:agonist
pharmgkb:PA449591,pharmgkb:PA380,dbv:inhibitor
pharmgkb:PA164752439,pharmgkb:PA29556,dbv:antagonist
pharmgkb:PA451128,pharmgkb:PA111,dbv:antagonist
pharmgkb:PA451128,pharmgkb:PA26485,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA192,dbv:antagonist
pharmgkb:PA451128,pharmgkb:PA26486,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA35,dbv:antagonist
pharmgkb:PA450121,pharmgkb:PA24598,dbv:agonist
pharmgkb:PA164752439,pharmgkb:PA24597,dbv:antagonist
pharmgkb:PA164754891,pharmgkb:PA29550,dbv:agonist
pharmgkb:PA164752439,pharmgkb:PA29550,dbv:antagonist
pharmgkb:PA164754891,pharmgkb:PA29549,dbv:agonist
pharmgkb:PA164752439,pharmgkb:PA29549,dbv:antagonist
pharmgkb:PA451128,pharmgkb:PA193,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA193,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA194,dbv:antagonist
pharmgkb:PA450121,pharmgkb:PA30616,dbv:inducer
pharmgkb:PA164752439,pharmgkb:PA29552,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA29553,dbv:antagonist
pharmgkb:PA451128,pharmgkb:PA34,dbv:unknown
pharmgkb:PA164752439,pharmgkb:PA34,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA33,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA29554,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA29560,dbv:antagonist
pharmgkb:PA449591,pharmgkb:PA86,dbv:inhibitor
pharmgkb:PA449591,pharmgkb:PA33122,dbv:inhibitor
pharmgkb:PA449591,pharmgkb:PA33123,dbv:inhibitor
pharmgkb:PA449591,pharmgkb:PA84,dbv:inhibitor
pharmgkb:PA449591,pharmgkb:PA88,dbv:inhibitor
pharmgkb:PA164752439,pharmgkb:PA134866755,dbv:antagonist
pharmgkb:PA450121,pharmgkb:PA33314,dbv:agonist
pharmgkb:PA449591,pharmgkb:PA36633,dbv:other
pharmgkb:PA164752439,pharmgkb:PA28498,dbv:agonist
pharmgkb:PA449050,pharmgkb:PA28498,dbv:positive-allosteric-modulator
pharmgkb:PA448068,pharmgkb:PA38,dbv:agonist
pharmgkb:PA450121,pharmgkb:PA38,dbv:agonist
pharmgkb:PA451128,pharmgkb:PA26484,dbv:antagonist
pharmgkb:PA164752439,pharmgkb:PA28495,dbv:agonist
pharmgkb:PA449050,pharmgkb:PA28495,dbv:positive-allosteric-modulator
pharmgkb:PA164752439,pharmgkb:PA28501,dbv:agonist
pharmgkb:PA449050,pharmgkb:PA28501,dbv:positive-allosteric-modulator
pharmgkb:PA451128,pharmgkb:PA112,dbv:antagonist
pharmgkb:PA451316,pharmgkb:PA237,dbv:inhibitor
pharmgkb:PA449050,pharmgkb:PA25473,dbv:other-unknown
